,Año,Trimestre,Provincia,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,OTROS,Total
845,2014,1,Córdoba,2076,107705,423114,24112,9818,40,588,0.0,567453
846,2014,1,Corrientes,20,16357,40742,4486,630,0,0,0.0,62235
847,2014,1,Entre Ríos,2177,35206,85248,10828,746,0,43,0.0,134248
848,2014,1,Formosa,2062,8475,13685,1133,67,0,0,0.0,25422
849,2014,1,Jujuy,1832,11498,18415,2002,56,0,0,0.0,33803
850,2014,1,La Pampa,7434,6535,32501,17,5,4,10,0.0,46506
851,2014,1,La Rioja,10,5111,9390,1165,35,0,0,0.0,15711
852,2014,1,Mendoza,35,6,166655,19,10,6,9,0.0,166740
853,2014,1,Misiones,545,14460,52852,5139,958,0,0,0.0,73954
854,2014,1,Neuquén,4133,987,77148,84,1582,2,22,0.0,83958
855,2014,1,Río Negro,4670,4618,84304,73,1062,1,8,0.0,94736
856,2014,1,Salta,53,19677,64061,7192,314,0,0,0.0,91297
857,2014,1,San Juan,531,2,51056,0,0,0,0,0.0,51589
858,2014,1,San Luis,7,3,12544,0,1,0,2,0.0,12557
859,2014,1,Santa Cruz,161,1625,24972,1,1,0,0,0.0,26760
860,2014,1,Santa Fe,8456,124468,345225,20328,6845,23,668,0.0,506013
861,2014,1,Santiago Del Estero,1234,10531,22817,2422,109,0,0,0.0,37113
862,2014,1,Tierra Del Fuego,12,607,30902,6,0,0,0,0.0,31527
863,2014,1,Tucumán,6,34672,83210,11779,362,3,0,0.0,130032
