,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
637,2016,2,Misiones,95808,7,95815
638,2016,2,Neuquén,108224,2291,110515
639,2016,2,Río Negro,99631,1073,100704
640,2016,2,Salta,104929,3,104932
641,2016,2,San Juan,51392,621,52013
642,2016,2,San Luis,12939,317,13256
643,2016,2,Santa Cruz,25797,356,26153
644,2016,2,Santa Fe,563867,607,564474
645,2016,2,Santiago Del Estero,36958,3,36961
646,2016,2,Tierra Del Fuego,30740,619,31359
647,2016,2,Tucumán,148636,41,148677
648,2016,1,Buenos Aires,2929903,12612,2942515
649,2016,1,Capital Federal,1328079,9817,1337896
650,2016,1,Catamarca,26376,13,26389
651,2016,1,Chaco,86635,16,86651
652,2016,1,Chubut,62060,1740,63800
653,2016,1,Córdoba,609692,234,609926
654,2016,1,Corrientes,85510,26,85536
655,2016,1,Entre Ríos,174634,179,174813
656,2016,1,Formosa,28313,1,28314
657,2016,1,Jujuy,40287,2,40289
658,2016,1,La Pampa,65442,487,65929
659,2016,1,La Rioja,16673,18,16691
660,2016,1,Mendoza,169257,1553,170810
661,2016,1,Misiones,92951,7,92958
662,2016,1,Neuquén,101969,2292,104261
663,2016,1,Río Negro,98745,1077,99822
664,2016,1,Salta,102423,3,102426
665,2016,1,San Juan,51373,621,51994
666,2016,1,San Luis,12915,317,13232
667,2016,1,Santa Cruz,25931,356,26287
668,2016,1,Santa Fe,551378,618,551996
669,2016,1,Santiago Del Estero,37695,3,37698
670,2016,1,Tierra Del Fuego,29867,619,30486
671,2016,1,Tucumán,146596,41,146637
672,2015,4,Buenos Aires,2946743,12642,2959385
673,2015,4,Capital Federal,1360381,9845,1370226
674,2015,4,Catamarca,26459,13,26472
675,2015,4,Chaco,86537,16,86553
676,2015,4,Chubut,62279,1740,64019
677,2015,4,Córdoba,625835,235,626070
678,2015,4,Corrientes,85409,26,85435
679,2015,4,Entre Ríos,173957,180,174137
680,2015,4,Formosa,28088,1,28089
681,2015,4,Jujuy,39922,2,39924
682,2015,4,La Pampa,66054,312,66366
683,2015,4,La Rioja,16914,18,16932
684,2015,4,Mendoza,169251,1556,170807
685,2015,4,Misiones,92846,7,92853
686,2015,4,Neuquén,105122,2294,107416
687,2015,4,Río Negro,98655,1067,99722
688,2015,4,Salta,101917,3,101920
689,2015,4,San Juan,51408,621,52029
690,2015,4,San Luis,12901,317,13218
691,2015,4,Santa Cruz,26047,356,26403
692,2015,4,Santa Fe,561045,627,561672
693,2015,4,Santiago Del Estero,39132,3,39135
694,2015,4,Tierra Del Fuego,29334,619,29953
695,2015,4,Tucumán,146053,42,146095
696,2015,3,Buenos Aires,2916070,12695,2928765
697,2015,3,Capital Federal,1362193,9875,1372068
698,2015,3,Catamarca,26080,13,26093
699,2015,3,Chaco,85354,16,85370
700,2015,3,Chubut,62143,1740,63883
701,2015,3,Córdoba,622761,237,622998
702,2015,3,Corrientes,84931,28,84959
703,2015,3,Entre Ríos,172252,182,172434
704,2015,3,Formosa,27751,1,27752
705,2015,3,Jujuy,39548,2,39550
706,2015,3,La Pampa,64976,495,65471
707,2015,3,La Rioja,16753,18,16771
708,2015,3,Mendoza,169261,1562,170823
709,2015,3,Misiones,91615,7,91622
710,2015,3,Neuquén,98376,2240,100616
711,2015,3,Río Negro,98529,1085,99614
712,2015,3,Salta,100570,3,100573
713,2015,3,San Juan,51409,621,52030
714,2015,3,San Luis,12902,317,13219
715,2015,3,Santa Cruz,25912,359,26271
716,2015,3,Santa Fe,556097,641,556738
717,2015,3,Santiago Del Estero,39394,3,39397
718,2015,3,Tierra Del Fuego,33118,619,33737
719,2015,3,Tucumán,144272,42,144314
720,2015,2,Buenos Aires,2871079,12711,2883790
721,2015,2,Capital Federal,1336391,9893,1346284
722,2015,2,Catamarca,25666,13,25679
723,2015,2,Chaco,83832,16,83848
724,2015,2,Chubut,61745,1740,63485
725,2015,2,Córdoba,609510,236,609746
726,2015,2,Corrientes,83288,28,83316
727,2015,2,Entre Ríos,169309,183,169492
728,2015,2,Formosa,27013,37,27050
729,2015,2,Jujuy,37720,2,37722
730,2015,2,La Pampa,63552,500,64052
731,2015,2,La Rioja,16491,18,16509
732,2015,2,Mendoza,169259,1564,170823
733,2015,2,Misiones,88512,7,88519
734,2015,2,Neuquén,95644,2241,97885
735,2015,2,Río Negro,97640,1087,98727
736,2015,2,Salta,98264,3,98267
737,2015,2,San Juan,51367,621,51988
738,2015,2,San Luis,12904,317,13221
739,2015,2,Santa Cruz,25384,379,25763
740,2015,2,Santa Fe,545739,649,546388
741,2015,2,Santiago Del Estero,39375,3,39378
742,2015,2,Tierra Del Fuego,32960,619,33579
743,2015,2,Tucumán,140635,42,140677
744,2015,1,Buenos Aires,2847076,14766,2861842
745,2015,1,Capital Federal,1321139,11582,1332721
746,2015,1,Catamarca,25312,20,25332
747,2015,1,Chaco,81329,31,81360
748,2015,1,Chubut,63327,1946,65273
749,2015,1,Córdoba,596663,294,596957
750,2015,1,Corrientes,81488,43,81531
751,2015,1,Entre Ríos,165839,231,166070
752,2015,1,Formosa,26657,43,26700
753,2015,1,Jujuy,36608,3,36611
754,2015,1,La Pampa,62155,542,62697
755,2015,1,La Rioja,16310,23,16333
756,2015,1,Mendoza,168355,1805,170160
757,2015,1,Misiones,85139,7,85146
758,2015,1,Neuquén,93373,2369,95742
759,2015,1,Río Negro,96145,1188,97333
760,2015,1,Salta,96793,18,96811
761,2015,1,San Juan,51117,702,51819
762,2015,1,San Luis,12878,354,13232
763,2015,1,Santa Cruz,26217,424,26641
764,2015,1,Santa Fe,535640,797,536437
765,2015,1,Santiago Del Estero,39244,8,39252
766,2015,1,Tierra Del Fuego,32726,730,33456
767,2015,1,Tucumán,138184,92,138276
768,2014,4,Buenos Aires,2801178,15229,2816407
769,2014,4,Capital Federal,1318526,11994,1330520
770,2014,4,Catamarca,25472,21,25493
771,2014,4,Chaco,65998,37,66035
772,2014,4,Chubut,66557,1985,68542
773,2014,4,Córdoba,590113,319,590432
774,2014,4,Corrientes,65656,54,65710
775,2014,4,Entre Ríos,140567,246,140813
776,2014,4,Formosa,26156,51,26207
777,2014,4,Jujuy,35999,3,36002
778,2014,4,La Pampa,56813,567,57380
779,2014,4,La Rioja,16379,23,16402
780,2014,4,Mendoza,167766,1848,169614
781,2014,4,Misiones,77222,7,77229
782,2014,4,Neuquén,92999,2397,95396
783,2014,4,Río Negro,95050,1210,96260
784,2014,4,Salta,93921,26,93947
785,2014,4,San Juan,51390,729,52119
786,2014,4,San Luis,12788,359,13147
787,2014,4,Santa Cruz,25277,436,25713
788,2014,4,Santa Fe,528459,938,529397
789,2014,4,Santiago Del Estero,39308,9,39317
790,2014,4,Tierra Del Fuego,28249,741,28990
791,2014,4,Tucumán,137329,95,137424
792,2014,3,Buenos Aires,2835537,14028,2849565
793,2014,3,Capital Federal,1307195,10630,1317825
794,2014,3,Catamarca,24665,21,24686
795,2014,3,Chaco,63710,36,63746
796,2014,3,Chubut,67130,2007,69137
797,2014,3,Córdoba,585231,200,585431
798,2014,3,Corrientes,63516,33,63549
799,2014,3,Entre Ríos,136618,115,136733
800,2014,3,Formosa,25873,64,25937
801,2014,3,Jujuy,33739,2,33741
802,2014,3,La Pampa,61861,564,62425
803,2014,3,La Rioja,15893,23,15916
804,2014,3,Mendoza,166184,1740,167924
805,2014,3,Misiones,75327,0,75327
806,2014,3,Neuquén,100099,2268,102367
807,2014,3,Río Negro,96629,1151,97780
808,2014,3,Salta,92929,25,92954
809,2014,3,San Juan,51031,748,51779
810,2014,3,San Luis,12683,363,13046
811,2014,3,Santa Cruz,25664,446,26110
812,2014,3,Santa Fe,520196,691,520887
813,2014,3,Santiago Del Estero,37539,9,37548
814,2014,3,Tierra Del Fuego,28037,755,28792
815,2014,3,Tucumán,131978,88,132066
816,2014,2,Buenos Aires,2750430,14116,2764546
817,2014,2,Capital Federal,1299502,10713,1310215
818,2014,2,Catamarca,24660,23,24683
819,2014,2,Chaco,63243,36,63279
820,2014,2,Chubut,68503,2016,70519
821,2014,2,Córdoba,576747,205,576952
822,2014,2,Corrientes,62925,33,62958
823,2014,2,Entre Ríos,135468,115,135583
824,2014,2,Formosa,25535,65,25600
825,2014,2,Jujuy,34359,2,34361
826,2014,2,La Pampa,55048,580,55628
827,2014,2,La Rioja,15889,23,15912
828,2014,2,Mendoza,165046,1761,166807
829,2014,2,Misiones,74689,0,74689
830,2014,2,Neuquén,90053,2235,92288
831,2014,2,Río Negro,94812,1145,95957
832,2014,2,Salta,91949,25,91974
833,2014,2,San Juan,50891,755,51646
834,2014,2,San Luis,12691,364,13055
835,2014,2,Santa Cruz,26710,459,27169
836,2014,2,Santa Fe,511753,605,512358
837,2014,2,Santiago Del Estero,38002,9,38011
838,2014,2,Tierra Del Fuego,27443,766,28209
839,2014,2,Tucumán,131981,88,132069
840,2014,1,Buenos Aires,2725732,14144,2739876
841,2014,1,Capital Federal,1289204,10714,1299918
842,2014,1,Catamarca,24209,23,24232
843,2014,1,Chaco,62520,36,62556
844,2014,1,Chubut,68205,2016,70221
845,2014,1,Córdoba,566705,205,566910
846,2014,1,Corrientes,62203,33,62236
847,2014,1,Entre Ríos,134216,115,134331
848,2014,1,Formosa,25335,87,25422
849,2014,1,Jujuy,33825,2,33827
850,2014,1,La Pampa,53601,592,54193
851,2014,1,La Rioja,15688,23,15711
852,2014,1,Mendoza,164084,1761,165845
853,2014,1,Misiones,73950,0,73950
854,2014,1,Neuquén,88077,2303,90380
855,2014,1,Río Negro,93909,1157,95066
856,2014,1,Salta,91265,25,91290
857,2014,1,San Juan,50543,755,51298
858,2014,1,San Luis,12193,364,12557
859,2014,1,Santa Cruz,26304,460,26764
860,2014,1,Santa Fe,506000,612,506612
861,2014,1,Santiago Del Estero,37124,9,37133
862,2014,1,Tierra Del Fuego,27272,766,28038
863,2014,1,Tucumán,129944,88,130032
